1531357218 217786 SNAPSHOT ni1901 | 111450 111500 |   4 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111490 0 22938 M 2540549780 66684
1531357218 404237 SNAPSHOT ni1901 | 111450 111470 |   4 x   3 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111490 0 22950 M 2541887660 66682
1531357218 750179 SNAPSHOT ni1901 | 111450 111470 |   3 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111490 0 22952 M 2542110640 66684
1531357219 295189 SNAPSHOT ni1901 | 111410 111450 |   1 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111450 0 22958 M 2542779340 66686
1531357221 034245 SNAPSHOT ni1901 | 111420 111440 |   1 x   3 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111440 0 22964 M 2543447980 66686
1531357221 850180 SNAPSHOT ni1901 | 111370 111460 | 318 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111420 0 22966 M 2543670820 66684
1531357222 272237 SNAPSHOT ni1901 | 111380 111450 |   4 x  14 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111420 0 22966 M 2543670820 66684
1531357222 599178 SNAPSHOT ni1901 | 111370 111420 | 318 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111420 0 22966 M 2543670820 66684
1531357222 971179 SNAPSHOT ni1901 | 111370 111380 | 318 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111420 0 22966 M 2543670820 66684
1531357223 552298 SNAPSHOT ni1901 | 111380 111420 |   3 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111380 0 22970 M 2544116340 66686
1531357223 817180 SNAPSHOT ni1901 | 111380 111420 |   1 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111380 0 22970 M 2544116340 66686
1531357225 922184 SNAPSHOT ni1901 | 111380 111390 |   1 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111380 0 22972 M 2544339100 66686
1531357226 447181 SNAPSHOT ni1901 | 111370 111400 | 317 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 22978 M 2545007400 66688
1531357227 015184 SNAPSHOT ni1901 | 111380 111430 |   4 x   3 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111390 0 22990 M 2546344080 66696
1531357227 764202 SNAPSHOT ni1901 | 111370 111420 | 315 x  10 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 22994 M 2546789560 66700
1531357228 011262 SNAPSHOT ni1901 | 111370 111380 | 315 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 22996 M 2547012300 66702
1531357228 466181 SNAPSHOT ni1901 | 111370 111410 | 315 x   4 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111380 0 22998 M 2547235060 66702
1531357230 038201 SNAPSHOT ni1901 | 111370 111390 | 312 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23004 M 2547903280 66702
1531357230 709188 SNAPSHOT ni1901 | 111370 111400 | 287 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23054 M 2553471780 66710
1531357231 341238 SNAPSHOT ni1901 | 111370 111400 | 287 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23054 M 2553471780 66710
1531357232 005191 SNAPSHOT ni1901 | 111370 111380 | 283 x   4 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23062 M 2554362740 66710
1531357232 849250 SNAPSHOT ni1901 | 111370 111400 | 283 x   4 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111380 0 23070 M 2555253780 66716
1531357234 066238 SNAPSHOT ni1901 | 111370 111390 | 282 x   4 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23072 M 2555476520 66716
1531357234 224818 SNAPSHOT ni1901 | 111370 111420 | 276 x   6 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23084 M 2556812960 66718
1531357234 688248 SNAPSHOT ni1901 | 111370 111400 | 276 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23084 M 2556812960 66718
1531357235 047178 SNAPSHOT ni1901 | 111370 111390 | 276 x   9 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23084 M 2556812960 66718
1531357235 461185 SNAPSHOT ni1901 | 111370 111400 | 276 x   3 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23084 M 2556812960 66718
1531357235 904180 SNAPSHOT ni1901 | 111370 111390 | 276 x   4 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23084 M 2556812960 66718
1531357236 434241 SNAPSHOT ni1901 | 111370 111390 | 275 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23086 M 2557035700 66720
1531357237 338190 SNAPSHOT ni1901 | 111370 111390 | 275 x   3 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23086 M 2557035700 66720
1531357237 895182 SNAPSHOT ni1901 | 111370 111390 | 275 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23086 M 2557035700 66720
1531357238 187246 SNAPSHOT ni1901 | 111370 111390 | 275 x   5 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23086 M 2557035700 66720
1531357238 535247 SNAPSHOT ni1901 | 111370 111390 | 275 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111390 0 23092 M 2557704040 66724
1531357239 591181 SNAPSHOT ni1901 | 111370 111400 | 269 x   1 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111380 0 23112 M 2559931560 66740
1531357240 701309 SNAPSHOT ni1901 | 111370 111390 | 265 x   6 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23120 M 2560822520 66748
1531357241 766177 SNAPSHOT ni1901 | 111370 111390 | 244 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23162 M 2565500060 66790
1531357242 115232 SNAPSHOT ni1901 | 111370 111400 | 243 x   6 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23164 M 2565722800 66792
1531357242 334183 SNAPSHOT ni1901 | 111370 111390 | 243 x  10 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23164 M 2565722800 66792
1531357242 763236 SNAPSHOT ni1901 | 111370 111390 | 241 x   9 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23168 M 2566168280 66796
1531357243 500192 SNAPSHOT ni1901 | 111370 111400 | 241 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111390 0 23200 M 2569732880 66816
1531357244 150181 SNAPSHOT ni1901 | 111400 111420 |   2 x   3 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23206 M 2570401280 66822
1531357244 681243 SNAPSHOT ni1901 | 111400 111420 |   2 x   5 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23206 M 2570401280 66822
1531357245 852180 SNAPSHOT ni1901 | 111380 111390 |   6 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111400 0 23216 M 2571515280 66822
1531357247 259238 SNAPSHOT ni1901 | 111370 111420 | 243 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111390 0 23220 M 2571960840 66826
1531357248 658244 SNAPSHOT ni1901 | 111370 111420 | 243 x   5 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111390 0 23220 M 2571960840 66826
1531357249 716236 SNAPSHOT ni1901 | 111370 111390 | 211 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23280 M 2578643040 66880
1531357250 161199 SNAPSHOT ni1901 | 111370 111400 | 197 x   2 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23308 M 2581761400 66904
1531357250 477250 SNAPSHOT ni1901 | 111370 111400 | 194 x   4 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 0 0 |   0 x   0 | 111370 0 23314 M 2582429620 66908
